Date,Dist,Duration,Pace,Speed,Shorts,Shirt,Notes,Race,Temp,,,,,,
"Tuesday, September 16, 2014",4.86,26.3,5:25,11.09,Blue,Moulton,,,,,,,,,
"Wednesday, September 17, 2014",,,,,,,,,,,,,,,
"Thursday, September 18, 2014",,,,,,,,,,,,,,,
"Friday, September 19, 2014",,,,,,,,,,,,,,,
"Saturday, September 20, 2014",,,,,,,,,,,,,,,
"Sunday, September 21, 2014",6.28,35.8,5:42,10.54,Black,Quiksilver,,,,,,,,,
"Monday, September 22, 2014",,,,,,,,,,,,,,,
"Tuesday, September 23, 2014",6.28,35,5:34,10.77,Blue,Shinerama,,,,,,,,,
"Wednesday, September 24, 2014",,,,,,,,,,,,,,,
"Thursday, September 25, 2014",,,,,,,,,,,,,,,
"Friday, September 26, 2014",,,,,,,,,,,,,,,
"Saturday, September 27, 2014",10.04,59.4,5:55,10.14,Blue,Quiksilver,"gave directions, time approx",,,,,,,,
"Sunday, September 28, 2014",10.04,60.7,6:02,9.93,Black,AE,"#2 at FreshCo, time very approx",,,,,,,,
"Monday, September 29, 2014",,,,,,,,,,,,,,,
"Tuesday, September 30, 2014",4.85,27.5,5:40,10.58,Blue,Billabong,"skipped a few songs, time likely a little generous",,,,,,,,
"Wednesday, October 1, 2014",,,,,,,,,,,,,,,
"Thursday, October 2, 2014",3.96,21.73333333,5:29,10.93,Black,Eng,,,,,,,,,
"Friday, October 3, 2014",,,,,,,,,,,,,,,
"Saturday, October 4, 2014",,,,,,,,,,,,,,,
"Sunday, October 5, 2014",,,,,,,,,,,,,,,
"Monday, October 6, 2014",1.77,8.5,4:49,12.45,Blue,Billabong,,,,,,,,,
"Tuesday, October 7, 2014",,,,,,,,,,,,,,,
"Wednesday, October 8, 2014",,,,,,,,,,,,,,,
"Thursday, October 9, 2014",,,,,,,,,,,,,,,
"Friday, October 10, 2014",,,,,,,,,,,,,,,
"Saturday, October 11, 2014",,,,,,,,,,,,,,,
"Sunday, October 12, 2014",,,,,,,,,,,,,,,
"Monday, October 13, 2014",,,,,,,,,,,,,,,
"Tuesday, October 14, 2014",,,,,,,,,,,,,,,
"Wednesday, October 15, 2014",,,,,,,,,,,,,,,
"Thursday, October 16, 2014",,,,,,,,,,,,,,,
"Friday, October 17, 2014",,,,,,,,,,,,,,,
"Saturday, October 18, 2014",,,,,,,,,,,,,,,
"Sunday, October 19, 2014",,,,,,,,,,,,,,,
"Monday, October 20, 2014",,,,,,,,,,,,,,,
"Tuesday, October 21, 2014",,,,,,,,,,,,,,,
"Wednesday, October 22, 2014",,,,,,,,,,,,,,,
"Thursday, October 23, 2014",,,,,,,,,,,,,,,
"Friday, October 24, 2014",,,,,,,,,,,,,,,
"Saturday, October 25, 2014",,,,,,,,,,,,,,,
"Sunday, October 26, 2014",,,,,,,,,,,,,,,
"Monday, October 27, 2014",,,,,,,,,,,,,,,
"Tuesday, October 28, 2014",,,,,,,,,,,,,,,
"Wednesday, October 29, 2014",,,,,,,,,,,,,,,
"Thursday, October 30, 2014",,,,,,,,,,,,,,,
"Friday, October 31, 2014",,,,,,,,,,,,,,,
"Saturday, November 1, 2014",,,,,,,,,,,,,,,
"Sunday, November 2, 2014",,,,,,,,,,,,,,,
"Monday, November 3, 2014",,,,,,,,,,,,,,,
"Tuesday, November 4, 2014",,,,,,,,,,,,,,,
"Wednesday, November 5, 2014",,,,,,,,,,,,,,,
"Thursday, November 6, 2014",,,,,,,,,,,,,,,
"Friday, November 7, 2014",,,,,,,,,,,,,,,
"Saturday, November 8, 2014",,,,,,,,,,,,,,,
"Sunday, November 9, 2014",,,,,,,,,,,,,,,
"Monday, November 10, 2014",,,,,,,,,,,,,,,
"Tuesday, November 11, 2014",4.17,22.9,5:29,10.93,Black,AE,,,,,,,,,
"Wednesday, November 12, 2014",,,,,,,,,,,,,,,
"Thursday, November 13, 2014",,,,,,,,,,,,,,,
"Friday, November 14, 2014",,,,,,,,,,,,,,,
"Saturday, November 15, 2014",,,,,,,,,,,,,,,
"Sunday, November 16, 2014",,,,,,,,,,,,,,,
"Monday, November 17, 2014",,,,,,,,,,,,,,,
"Tuesday, November 18, 2014",,,,,,,,,,,,,,,
"Wednesday, November 19, 2014",,,,,,,,,,,,,,,
"Thursday, November 20, 2014",,,,,,,,,,,,,,,
"Friday, November 21, 2014",,,,,,,,,,,,,,,
"Saturday, November 22, 2014",,,,,,,,,,,,,,,
"Sunday, November 23, 2014",,,,,,,,,,,,,,,
"Monday, November 24, 2014",,,,,,,,,,,,,,,
"Tuesday, November 25, 2014",,,,,,,,,,,,,,,
"Wednesday, November 26, 2014",,,,,,,,,,,,,,,
"Thursday, November 27, 2014",,,,,,,,,,,,,,,
"Friday, November 28, 2014",,,,,,,,,,,,,,,
"Saturday, November 29, 2014",,,,,,,,,,,,,,,
"Sunday, November 30, 2014",,,,,,,,,,,,,,,
"Monday, December 1, 2014",,,,,,,,,,,,,,,
"Tuesday, December 2, 2014",,,,,,,,,,,,,,,
"Wednesday, December 3, 2014",,,,,,,,,,,,,,,
"Thursday, December 4, 2014",,,,,,,,,,,,,,,
"Friday, December 5, 2014",,,,,,,,,,,,,,,
"Saturday, December 6, 2014",,,,,,,,,,,,,,,
"Sunday, December 7, 2014",,,,,,,,,,,,,,,
"Monday, December 8, 2014",,,,,,,,,,,,,,,
"Tuesday, December 9, 2014",,,,,,,,,,,,,,,
"Wednesday, December 10, 2014",,,,,,,,,,,,,,,
"Thursday, December 11, 2014",,,,,,,,,,,,,,,
"Friday, December 12, 2014",,,,,,,,,,,,,,,
"Saturday, December 13, 2014",,,,,,,,,,,,,,,
"Sunday, December 14, 2014",,,,,,,,,,,,,,,
"Monday, December 15, 2014",,,,,,,,,,,,,,,
"Tuesday, December 16, 2014",,,,,,,,,,,,,,,
"Wednesday, December 17, 2014",,,,,,,,,,,,,,,
"Thursday, December 18, 2014",,,,,,,,,,,,,,,
"Friday, December 19, 2014",,,,,,,,,,,,,,,
"Saturday, December 20, 2014",,,,,,,,,,,,,,,
"Sunday, December 21, 2014",,,,,,,,,,,,,,,
"Monday, December 22, 2014",,,,,,,,,,,,,,,
"Tuesday, December 23, 2014",,,,,,,,,,,,,,,
"Wednesday, December 24, 2014",4.1,23.7,5:47,10.38,Pants,Bounds of Music,,,,,,,,,
"Thursday, December 25, 2014",,,,,,,,,,,,,,,
"Friday, December 26, 2014",3.97,22.6,5:41,10.56,Pants,Bounds of Music,,,,,,,,,
"Saturday, December 27, 2014",,,,,,,,,,,,,,,
"Sunday, December 28, 2014",,,,,,,,,,,,,,,
"Monday, December 29, 2014",,,,,,,,,,,,,,,
"Tuesday, December 30, 2014",,,,,,,,,,,,,,,
"Wednesday, December 31, 2014",,,,,,,,,,,,,,,
"Sunday, April 12, 2015",4.1,24.4,5:58,10.07,Blue,Mac Grey,,,,,,,,,
"Monday, April 13, 2015",,,,,,,,,,,,,,,
"Tuesday, April 14, 2015",4.1,24.4,5:57,10.1,Black,Shinerama,,,,,,,,,
"Wednesday, April 15, 2015",4.1,24.4,5:57,10.1,Red,Moulton,,,,,,,,,
"Thursday, April 16, 2015",,,,,,,,,,,,,,,
"Friday, April 17, 2015",,,,,,,,,,,,,,,
"Saturday, April 18, 2015",4.1,23.3,5:41,10.57,Blue,Moulton,,,,,,,,,
"Sunday, April 19, 2015",,,,,,,,,,,,,,,
"Monday, April 20, 2015",,,,,,,,,,,,,,,
"Tuesday, April 21, 2015",,,,,,,,,,,,,,,
"Wednesday, April 22, 2015",,,,,,,,,,,,,,,
"Thursday, April 23, 2015",,,,,,,,,,,,,,,
"Friday, April 24, 2015",,,,,,,,,,,,,,,
"Saturday, April 25, 2015",,,,,,,,,,,,,,,
"Sunday, April 26, 2015",,,,,,,,,,,,,,,
"Monday, April 27, 2015",,,,,,,,,,,,,,,
"Tuesday, April 28, 2015",,,,,,,,,,,,,,,
"Wednesday, April 29, 2015",4.1,24,5:51,10.25,Blue,Eng,,,,,,,,,
"Thursday, April 30, 2015",4.1,23.2,5:40,10.6,Black,Winterfell,,,,,,,,,
"Friday, May 1, 2015",,,,,,,,,,,,,,,
"Saturday, May 2, 2015",4.1,23.2,5:39,10.61,Blue,The Wonder Years,,,,,,,,,
"Sunday, May 3, 2015",,,,,,,,,,,,,,,
"Monday, May 4, 2015",4.1,22.4,5:27,11.01,Red,Shinerama,,,,,,,,,
"Tuesday, May 5, 2015",,,,,,,,,,,,,,,
"Wednesday, May 6, 2015",4.1,23.1,5:38,10.64,Black,Shinerama,,,,,,,,,
"Thursday, May 7, 2015",,,,,,,,,,,,,,,
"Friday, May 8, 2015",,,,,,,,,,,,,,,
"Saturday, May 9, 2015",4.1,23.2,5:40,10.6,Black,Shinerama,,,,,,,,,
"Sunday, May 10, 2015",,,,,,,,,,,,,,,
"Monday, May 11, 2015",,,,,,,,,,,,,,,
"Tuesday, May 12, 2015",,,,,,,,,,,,,,,
"Wednesday, May 13, 2015",,,,,,,,,,,,,,,
"Thursday, May 14, 2015",,,,,,,,,,,,,,,
"Friday, May 15, 2015",,,,,,,,,,,,,,,
"Saturday, May 16, 2015",,,,,,,,,,,,,,,
"Sunday, May 17, 2015",4.1,21.8,5:19,11.3,Black,Shinerama,,,,,,,,,
"Monday, May 18, 2015",4.1,23.5,5:44,10.47,Blue,Mac Eng,,,24,,,,,,
"Tuesday, May 19, 2015",,,,,,,,,,,,,,,
"Wednesday, May 20, 2015",,,,,,,,,,,,,,,
"Thursday, May 21, 2015",,,,,,,,,,,,,,,
"Friday, May 22, 2015",,,,,,,,,,,,,,,
"Saturday, May 23, 2015",,,,,,,,,,,,,,,
"Sunday, May 24, 2015",4.1,22.8,5:33,10.81,Black,Protest,,,,,,,,,
"Monday, May 25, 2015",4.1,22.5,5:29,10.96,Blue,Quiksilver,,,,,,,,,
"Tuesday, May 26, 2015",,,,,,,,,,,,,,,
"Wednesday, May 27, 2015",4.1,22.2,5:25,11.09,Red,Shinerama,,,,,,,,,
"Thursday, May 28, 2015",4.1,22.6,5:30,10.89,Black,Shinerama,,,18,,,,,,
"Friday, May 29, 2015",4.1,22.5,5:30,10.92,,,,,21,,,,,,
"Saturday, May 30, 2015",,,,,,,,,,,,,,,
"Sunday, May 31, 2015",,,,,,,,,,,,,,,
"Monday, June 1, 2015",,,,,,,,,,,,,,,
"Tuesday, June 2, 2015",,,,,,,,,,,,,,,
"Wednesday, June 3, 2015",,,,,,,,,,,,,,,
"Thursday, June 4, 2015",4.1,22.6,5:30,10.9,Black,Quiksilver Blue,,,,,,,,,
"Friday, June 5, 2015",,,,,,,,,,,,,,,
"Saturday, June 6, 2015",,,,,,,,,,,,,,,
"Sunday, June 7, 2015",4.1,21.3,5:11,11.57,Blue,Penguin,,,,,,,,,
"Monday, June 8, 2015",4.1,20,4:53,12.3,Black,Shinerama,,,,,,,,,
"Tuesday, June 9, 2015",,,,,,,,,,,,,,,
"Wednesday, June 10, 2015",,,,,,,,,,,,,,,
"Thursday, June 11, 2015",4.86,26.1,5:22,11.17,Blue,Quiksilver,,,,,,,,,
"Friday, June 12, 2015",4.86,25.1,5:10,11.62,Red,CS50x,,,15,,,,,,
"Saturday, June 13, 2015",,,,,,,,,,,,,,,
"Sunday, June 14, 2015",,,,,,,,,,,,,,,
"Monday, June 15, 2015",5.78,31.3,5:25,11.09,Black,Mac Eng Black,,,19,,,,,,
"Tuesday, June 16, 2015",5.78,31.2,5:24,11.1,Blue,Shinerama,,,22,,,,,,
"Wednesday, June 17, 2015",,,,,,,,,,,,,,,
"Thursday, June 18, 2015",6.02,32.7,5:26,11.03,New Balance,Quiksilver,,,18,,,,,,
"Friday, June 19, 2015",6.02,31.5,5:14,11.46,Under Armour,Mac Eng,,,15,,,,,,
"Saturday, June 20, 2015",,,,,,,,,,,,,,,
"Sunday, June 21, 2015",5,24.8,4:57,12.12,New Balance,Waterloo Classic,Waterloo Classic - Chip Time,Waterloo Classic,25,,,,,,
"Monday, June 22, 2015",,,,,,,,,,,,,,,
"Tuesday, June 23, 2015",,,,,,,,,,,,,,,
"Wednesday, June 24, 2015",,,,,,,,,,,,,,,
"Thursday, June 25, 2015",,,,,,,,,,,,,,,
"Friday, June 26, 2015",6.28,33.6,5:21,11.22,New Balance,Waterloo Classic,,,21,,,,,,
"Saturday, June 27, 2015",,,,,,,,,,,,,,,
"Sunday, June 28, 2015",,,,,,,,,,,,,,,
"Monday, June 29, 2015",6.28,32.1,5:06,11.76,New Balance,Waterloo Classic,,,20,,,,,,
"Tuesday, June 30, 2015",,,,,,,,,,,,,,,
"Wednesday, July 1, 2015",6.28,32.1,5:07,11.74,Under Armour,Mac Eng,,,18,,,,,,
"Thursday, July 2, 2015",,,,,,,,,,,,,,,
"Friday, July 3, 2015",6.28,31.7,5:03,11.89,New Balance,Waterloo Classic,,,14,,,,,,
"Saturday, July 4, 2015",,,,,,,,,,,,,,,
"Sunday, July 5, 2015",,,,,,,,,,,,,,,
"Monday, July 6, 2015",4.86,24.8,5:06,11.75,Under Armour,Shinerama,,,25,,,,,,
"Tuesday, July 7, 2015",,,,,,,,,,,,,,,
"Wednesday, July 8, 2015",6.28,32.9,5:14,11.46,New Balance,Waterloo Classic,,,16,,,,,,
"Thursday, July 9, 2015",,,,,,,,,,,,,,,
"Friday, July 10, 2015",6.28,32,5:05,11.79,Under Armour,Shinerama,,,15,,,,,,
"Saturday, July 11, 2015",4.86,24.6,5:04,11.85,Under Armour,Mac Grey,,,25,,,,,,
"Sunday, July 12, 2015",,,,,,,,,,,,,,,
"Monday, July 13, 2015",,,,,,,,,,,,,,,
"Tuesday, July 14, 2015",,,,,,,,,,,,,,,
"Wednesday, July 15, 2015",6.28,30.3,4:50,12.42,Under Armour,Mac Eng,Not on shuffle,,13,,,,,,
"Thursday, July 16, 2015",,,,,,,,,,,,,,,
"Friday, July 17, 2015",6.28,30.8,4:55,12.22,New Balance,Waterloo Classic,,,17,,,,,,
"Saturday, July 18, 2015",,,,,,,,,,,,,,,
"Sunday, July 19, 2015",4.1,19.9,4:51,12.37,Under Armour,McMaster,,,23,,,,,,
"Monday, July 20, 2015",,,,,,,,,,,,,,,
"Tuesday, July 21, 2015",6.28,33.4,5:19,11.29,Under Armour,Shinerama,,,21,,,,,,
"Wednesday, July 22, 2015",,,,,,,,,,,,,,,
"Thursday, July 23, 2015",,,,,,,,,,,,,,,
"Friday, July 24, 2015",,,,,,,,,,,,,,,
"Saturday, July 25, 2015",,,,,,,,,,,,,,,
"Sunday, July 26, 2015",6.28,32.6,5:11,11.57,New Balance,Waterloo Classic,,,22,,,,,,
"Monday, July 27, 2015",,,,,,,,,,,,,,,
"Tuesday, July 28, 2015",6.28,32.2,5:07,11.72,New Balance,Waterloo Classic,,,23,,,,,,
"Wednesday, July 29, 2015",,,,,,,,,,,,,,,
"Thursday, July 30, 2015",,,,,,,,,,,,,,,
"Friday, July 31, 2015",6.28,32,5:06,11.77,Under Armour,CS50x,,,20,,,,,,
"Saturday, August 1, 2015",,,,,,,,,,,,,,,
"Sunday, August 2, 2015",6.28,31.2,4:58,12.07,New Balance,Waterloo Classic,,,22,,,,,,
"Monday, August 3, 2015",6.28,31.5,5:01,11.96,Under Armour,HH,,,18,,,,,,
"Tuesday, August 4, 2015",,,,,,,,,,,,,,,
"Wednesday, August 5, 2015",6.28,31.3,4:59,12.03,New Balance,Waterloo Classic,,,18,,,,,,
"Thursday, August 6, 2015",,,,,,,,,,,,,,,
"Friday, August 7, 2015",6.28,32,5:06,11.77,Under Armour,HH,,,19,,,,,,
"Saturday, August 8, 2015",,,,,,,,,,,,,,,
"Sunday, August 9, 2015",,,,,,,,,,,,,,,
"Monday, August 10, 2015",,,,,,,,,,,,,,,
"Tuesday, August 11, 2015",4.1,20.8,5:05,11.82,Under Armour,HH,,,19,,,,,,
"Wednesday, August 12, 2015",,,,,,,,,,,,,,,
"Thursday, August 13, 2015",6.28,31.8,5:03,11.87,Under Armour,HH,,,21,,,,,,
"Friday, August 14, 2015",,,,,,,,,,,,,,,
"Saturday, August 15, 2015",,,,,,,,,,,,,,,
"Sunday, August 16, 2015",4.86,24.2,4:59,12.05,New Balance,Waterloo Classic,,,25,,,,,,
"Monday, August 17, 2015",,,,,,,,,,,,,,,
"Tuesday, August 18, 2015",,,,,,,,,,,,,,,
"Wednesday, August 19, 2015",6.28,31.2,4:58,12.09,Under Armour,HH,,,23,,,,,,
"Thursday, August 20, 2015",,,,,,,,,,,,,,,
"Friday, August 21, 2015",6.28,30.1,4:48,12.5,Under Armour,Waterloo Classic,,,18,,,,,,
"Saturday, August 22, 2015",,,,,,,,,,,,,,,
"Sunday, August 23, 2015",6.28,30.9,4:56,12.18,Under Armour,Waterloo Classic,,,19,,,,,,
"Monday, August 24, 2015",,,,,,,,,,,,,,,
"Tuesday, August 25, 2015",6.28,30.4,4:50,12.4,Under Armour,Waterloo Classic,Post,,17,,,,,,
"Wednesday, August 26, 2015",,,,,,,,,,,,,,,
"Thursday, August 27, 2015",6.28,30.6,4:53,12.31,New Balance,HH,,,16,,,,,,
"Friday, August 28, 2015",6.28,33,5:15,11.42,New Balance,HH,,,18,,,,,,
"Saturday, August 29, 2015",,,,,,,,,,,,,,,
"Sunday, August 30, 2015",,,,,,,,,,,,,,,
"Monday, August 31, 2015",4.1,21.3,5:12,11.55,Under Armour,Waterloo Classic,,,21,,,,,,
"Tuesday, September 1, 2015",,,,,,,,,,,,,,,
"Wednesday, September 2, 2015",6.28,29.9,4:45,12.62,New Balance,HH,Angry,,19,,,,,,
"Thursday, September 3, 2015",,,,,,,,,,,,,,,
"Friday, September 4, 2015",,,,,,,,,,,,,,,
"Saturday, September 5, 2015",,,,,,,,,,,,,,,
"Sunday, September 6, 2015",10,57.5,5:45,10.43,New Balance,Waterloo Classic,,,23,,,,,,
"Monday, September 7, 2015",,,,,,,,,,,,,,,
"Tuesday, September 8, 2015",,,,,,,,,,,,,,,
"Wednesday, September 9, 2015",7,36.3,5:11,11.58,Under Armour,HH,Hungry,,20,,,,,,
"Thursday, September 10, 2015",,,,,,,,,,,,,,,
"Friday, September 11, 2015",7,34.9,4:59,12.05,New Balance,Waterloo Classic,A little hungry,,18,,,,,,
"Saturday, September 12, 2015",,,,,,,,,,,,,,,
"Sunday, September 13, 2015",,,,,,,,,,,,,,,
"Monday, September 14, 2015",,,,,,,,,,,,,,,
"Tuesday, September 15, 2015",4.1,20.8,5:04,11.83,New Balance,HH,"Call, add 2 minutes",,20,,,,,,
"Wednesday, September 16, 2015",,,,,,,,,,,,,,,
"Thursday, September 17, 2015",,,,,,,,,,,,,,,
"Friday, September 18, 2015",4.86,24.33,5:00,11.98,Under Armour,Mizuno,,,17,,,,,,
"Saturday, September 19, 2015",,,,,,,,,,,,,,,
"Sunday, September 20, 2015",7,35.17,5:01,11.94,Saucony,Waterloo Classic,,,17,,,,,,
"Monday, September 21, 2015",,,,,,,,,,,,,,,
"Tuesday, September 22, 2015",,,,,,,,,,,,,,,
"Wednesday, September 23, 2015",,,,,,,,,,,,,,,
"Thursday, September 24, 2015",,,,,,,,,,,,,,,
"Friday, September 25, 2015",,,,,,,,,,,,,,,
"Saturday, September 26, 2015",,,,,,,,,,,,,,,
"Sunday, September 27, 2015",,,,,,,,,,,,,,,
"Monday, September 28, 2015",,,,,,,,,,,,,,,
"Tuesday, September 29, 2015",,,,,,,,,,,,,,,
"Wednesday, September 30, 2015",,,,,,,,,,,,,,,
"Thursday, October 1, 2015",,,,,,,,,,,,,,,
"Friday, October 2, 2015",,,,,,,,,,,,,,,
"Saturday, October 3, 2015",,,,,,,,,,,,,,,
"Sunday, October 4, 2015",,,,,,,,,,,,,,,
"Monday, October 5, 2015",5,25.2,5:02,11.9,Under Armour,Mizuno,,,17,,,,,,
"Tuesday, October 6, 2015",,,,,,,,,,,,,,,
"Wednesday, October 7, 2015",,,,,,,,,,,,,,,
"Thursday, October 8, 2015",,,,,,,,,,,,,,,
"Friday, October 9, 2015",,,,,,,,,,,,,,,
"Saturday, October 10, 2015",,,,,,,,,,,,,,,
"Sunday, October 11, 2015",5,25.48,5:06,11.77,Under Armour,Mizuno,,,12,,,,,,
"Monday, October 12, 2015",5,25.05,5:01,11.98,Under Armour,Mizuno,,,14,,,,,,
"Tuesday, October 13, 2015",,,,,,,,,,,,,,,
"Wednesday, October 14, 2015",,,,,,,,,,,,,,,
"Thursday, October 15, 2015",,,,,,,,,,,,,,,
"Friday, October 16, 2015",,,,,,,,,,,,,,,
"Saturday, October 17, 2015",,,,,,,,,,,,,,,
"Sunday, October 18, 2015",,,,,,,,,,,,,,,
"Monday, October 19, 2015",,,,,,,,,,,,,,,
"Tuesday, October 20, 2015",,,,,,,,,,,,,,,
"Wednesday, October 21, 2015",,,,,,,,,,,,,,,
"Thursday, October 22, 2015",5,25.33,5:04,11.84,Under Armour,Waterloo Classic,,,12,,,,,,
"Friday, October 23, 2015",,,,,,,,,,,,,,,
"Saturday, October 24, 2015",,,,,,,,,,,,,,,
"Sunday, October 25, 2015",,,,,,,,,,,,,,,
"Monday, October 26, 2015",,,,,,,,,,,,,,,
"Tuesday, October 27, 2015",,,,,,,,,,,,,,,
"Wednesday, October 28, 2015",,,,,,,,,,,,,,,
"Thursday, October 29, 2015",,,,,,,,,,,,,,,
"Friday, October 30, 2015",,,,,,,,,,,,,,,
"Saturday, October 31, 2015",,,,,,,,,,,,,,,
"Sunday, November 1, 2015",,,,,,,,,,,,,,,
"Monday, November 2, 2015",,,,,,,,,,,,,,,
"Tuesday, November 3, 2015",5,25,5:00,12,Under Armour,Waterloo Classic,,,14,,,,,,
"Wednesday, November 4, 2015",5,24.85,4:58,12.07,Under Armour,Waterloo Classic,,,21,,,,,,
"Thursday, November 5, 2015",,,,,,,,,,,,,,,
"Friday, November 6, 2015",,,,,,,,,,,,,,,
"Saturday, November 7, 2015",,,,,,,,,,,,,,,
"Sunday, November 8, 2015",2.19,9.95,4:33,13.21,Under Armour,Waterloo Classic,,,5,,,,,,
"Monday, November 9, 2015",5,24.83,4:58,12.08,Pants,Bounds of Music,,,11,,,,,,
"Tuesday, November 10, 2015",,,,,,,,,,,,,,,
"Wednesday, November 11, 2015",,,,,,,,,,,,,,,
"Thursday, November 12, 2015",,,,,,,,,,,,,,,
"Friday, November 13, 2015",,,,,,,,,,,,,,,
"Saturday, November 14, 2015",,,,,,,,,,,,,,,
"Sunday, November 15, 2015",,,,,,,,,,,,,,,
"Monday, November 16, 2015",,,,,,,,,,,,,,,
"Tuesday, November 17, 2015",,,,,,,,,,,,,,,
"Wednesday, November 18, 2015",,,,,,,,,,,,,,,
"Thursday, November 19, 2015",,,,,,,,,,,,,,,
"Friday, November 20, 2015",,,,,,,,,,,,,,,
"Saturday, November 21, 2015",,,,,,,,,,,,,,,
"Sunday, November 22, 2015",,,,,,,,,,,,,,,
"Monday, November 23, 2015",,,,,,,,,,,,,,,
"Tuesday, November 24, 2015",,,,,,,,,,,,,,,
"Wednesday, November 25, 2015",,,,,,,,,,,,,,,
"Thursday, November 26, 2015",,,,,,,,,,,,,,,
"Friday, November 27, 2015",,,,,,,,,,,,,,,
"Saturday, November 28, 2015",,,,,,,,,,,,,,,
"Sunday, November 29, 2015",,,,,,,,,,,,,,,
"Monday, November 30, 2015",,,,,,,,,,,,,,,
"Tuesday, December 1, 2015",,,,,,,,,,,,,,,
"Wednesday, December 2, 2015",,,,,,,,,,,,,,,
"Thursday, December 3, 2015",,,,,,,,,,,,,,,
"Friday, December 4, 2015",,,,,,,,,,,,,,,
"Saturday, December 5, 2015",,,,,,,,,,,,,,,
"Sunday, December 6, 2015",,,,,,,,,,,,,,,
